e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
8.2098;0.000825;2.3053;0.006334;0;0.009034944;0;0.01265493;0;0.012319992;0;0.012542895
9.7098;0.000825;3.8053;0.007918;;0;;0;;0;;0
11.2098;0.00165;5.3053;0.007918;0;0.012245248;1.817494;0.017932643;0.818332;0.01823347;0.819607;0.018181211
12.7098;0;6.8053;0.011085;0;0.017293377;4.623875;0.027984082;3.622697;0.028689049;2.461873;0.028654866
14.2098;0.000825;8.3053;0.007918;0;0.027480321;7.760264;0.039396676;5.761396;0.039846022;4.767644;0.039736365
15.7098;0.002475;9.8053;0.023753;0;0.036999742;11.062967;0.050696582;8.06671;0.05070692;6.574937;0.050876637
17.2098;0.004125;11.3053;0.034838;0;0.041081566;14.200112;0.061651595;9.706382;0.062254729;8.714105;0.06224638
18.7098;0.009076;12.8053;0.036421;0;0.046915444;17.005103;0.072545445;11.014685;0.073265935;10.355672;0.073143234
20.2098;0.009901;14.3053;0.028504;0;0.062434661;20.473561;0.08407062;12.323063;0.084231532;12.495777;0.08394546
21.7098;0.012376;15.8053;0.025337;0;0.075237058;23.610446;0.095183095;13.299155;0.0952161;14.468514;0.095499314
23.2098;0.021452;17.3053;0.023753;0;0.086392244;26.581272;0.106254025;14.774172;0.105871461;16.110057;0.106411182
24.7098;0.021452;18.8053;0.031671;0;0.095363949;29.053908;0.117208583;16.081704;0.117349938;17.585449;0.117336815
26.2098;0.026403;20.3053;0.003167;0;0.105631373;32.024384;0.128491814;17.887995;0.1285998;19.392486;0.128631689
27.7098;0.037129;21.8053;0.015835;0;0.107310201;34.330082;0.139937825;19.030735;0.139268737;20.867217;0.13995827
29.2098;0.033003;23.3053;0.009501;0;0.130269959;36.802941;0.150757483;20.17226;0.1506739;22.508624;0.15095246
30.7098;0.041254;24.8053;0.012668;0;0.15938553;38.777147;0.161741016;21.147809;0.161987947;23.984077;0.161840917
32.2098;0.034653;26.3053;0.015835;1.471917;0.173008133;40.917901;0.17247037;22.290144;0.172902197;25.127408;0.172649625
33.7098;0.033828;27.8053;0.012668;2.282198;0.184890064;43.223641;0.183890656;22.933644;0.18409138;26.601971;0.184077496
35.2098;0.041254;29.3053;0.006334;3.09481;0.195358422;45.19729;0.195212076;24.075404;0.195354879;27.578223;0.195462941
36.7098;0.044554;30.8053;0.019002;3.906817;0.206193939;47.171631;0.206114473;25.051628;0.206259487;28.887616;0.206311102
38.2098;0.026403;32.3053;0.009501;4.551988;0.217459169;49.312097;0.217018072;26.193143;0.217670547;30.36286;0.217326665
